IUSA Number,Y2019,Y2020,Y2021
30-601-5330,1,1,1
30-677-7830,0,1,1
30-777-3606,1,1,1
30-777-6302,1,1,1
30-777-6914,1,1,1
30-777-9629,1,1,1
30-777-9934,1,1,1
30-777-9991,1,1,1
30-778-1609,1,1,1
30-967-2046,1,1,1
31-138-8003,1,1,1
31-138-9951,1,1,1
31-139-1692,1,0,1
31-139-5594,1,1,1
31-139-7061,1,1,1
31-139-9687,1,1,1
31-241-9229,1,1,1
31-361-4653,1,1,1
31-361-5890,2,2,2
31-444-9737,1,1,1
31-554-7778,1,1,1
31-591-8318,1,1,1
31-625-3707,1,1,1
35-372-9817,1,1,0
35-405-0270,1,1,1
35-528-5362,0,1,1
35-546-2813,2,2,0
35-558-9540,1,1,1
35-570-2234,1,1,1
35-600-4234,1,1,1
35-755-8188,1,1,1
35-832-0133,1,1,1
35-832-0257,1,1,1
35-832-2444,1,1,1
35-832-5454,1,1,1
35-833-2088,1,1,1
35-833-4688,1,1,1
35-834-1410,1,1,1
35-834-3531,1,1,1
35-834-3648,1,1,1
35-834-5742,1,1,1
35-834-6286,1,1,1
35-834-7284,1,1,1
35-834-7565,1,1,1
35-834-7656,1,1,1
35-834-8050,0,1,1
35-834-8373,1,1,1
35-834-8928,1,1,1
35-835-1047,1,1,1
35-835-1096,1,1,1
35-879-8338,1,1,0
35-879-8528,1,1,1
35-879-8544,1,1,1
35-892-2144,1,1,1
35-895-2497,1,1,0
36-492-1395,0,0,1
36-537-2119,1,1,1
36-558-7997,1,1,1
36-683-0313,1,1,1
36-903-7684,1,1,1
36-912-0316,1,0,0
36-921-0547,1,0,0
36-954-1669,1,1,1
37-213-1680,1,1,1
37-476-0221,1,1,1
37-482-1635,1,0,1
37-532-3383,1,1,1
37-857-6839,1,1,1
37-874-5137,1,1,1
37-891-6993,1,1,1
37-891-7157,1,1,1
37-897-5601,1,1,1
37-899-6367,1,1,1
38-241-5347,1,1,1
38-245-0559,1,1,1
38-272-0621,1,1,1
38-495-1224,1,1,1
38-495-1240,1,1,1
38-849-9675,1,1,0
38-852-5081,1,1,1
39-353-6297,1,1,1
39-393-9798,1,1,1
39-409-7307,1,1,1
39-595-9083,1,0,1
39-639-1971,1,1,1
39-666-0516,1,1,1
39-675-7163,1,1,1
39-932-4516,0,1,1
39-942-2781,1,1,1
39-942-2831,1,1,1
39-958-1495,1,1,1
39-960-7092,1,1,1
39-963-4864,1,1,1
39-965-8525,1,1,1
40-014-0907,1,1,1
40-014-1556,1,1,1
40-014-2957,1,1,1
40-020-9964,0,1,1
40-021-0166,1,1,1
40-033-0990,1,1,1
40-056-9305,1,1,1
40-060-1314,1,1,1
40-061-1218,1,1,1
40-062-7107,1,1,1
40-064-1417,1,1,1
40-065-3196,1,1,1
40-065-5321,1,1,0
40-068-9433,1,0,0
40-070-6719,1,1,1
40-070-9358,1,1,1
40-072-2468,1,1,1
40-072-5537,1,1,1
40-072-6543,1,1,1
40-072-7764,1,1,1
40-073-5783,1,1,1
40-073-8498,1,1,0
40-073-9850,1,1,1
40-074-2524,1,1,1
40-074-4819,1,1,1
40-074-4884,1,0,0
40-074-4926,1,1,1
40-074-7762,1,1,1
40-075-0154,1,1,1
40-075-2325,1,1,1
