IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
11-836-0510,1,1,1,Greek Gourmet,2130 Murray Ave,Pittsburgh,PA,15217,Grocers-Retail
11-836-0510,1,1,1,Greek Gourmet,2130 Murray Ave,Pittsburgh,PA,15217,
11-836-1062,1,1,1,Eat'n Park,1816 Murray Ave,Pittsburgh,PA,15217,Restaurants
11-836-1617,1,1,1,Giant Eagle,4250 Murray Ave,Pittsburgh,PA,15217,Grocers-Retail
11-836-2177,1,1,1,Irish Centre Of Pittsburgh,6886 Forward Ave,Pittsburgh,PA,15217,Non-Profit Organizations
11-836-3050,1,1,1,Mineo's Pizza House,2128 Murray Ave,Pittsburgh,PA,15217,Pizza
11-836-3514,1,1,1,Pamela's,1711 Murray Ave,Pittsburgh,PA,15217,Restaurants
11-836-5352,1,1,1,China Star,4219 Murray Ave,Pittsburgh,PA,15217,Restaurants
11-836-8307,1,1,1,Shannopin Country Club,1 Windmere Rd,Pittsburgh,PA,15202,Golf Courses
11-836-8687,1,0,0,Murphy's Tap Room,1106 S Braddock Ave,Pittsburgh,PA,15218,Restaurants
11-836-8745,1,1,1,Triangle Bar & Grille,2122 Monongahela Ave,Pittsburgh,PA,15218,Restaurants
11-836-8794,1,1,1,Veltre Italian Kitchen,7530 Washington Ave,Pittsburgh,PA,15218,Restaurants
11-836-8794,1,1,1,Veltre's Pizza,7530 Washington Ave,Swissvale,PA,15218,Restaurants
11-837-7266,1,1,1,Ace's & Deuces,1400 5th Ave,Pittsburgh,PA,15219,Bars
11-837-7266,1,1,1,Ace's & Deuces,1400 5th Ave,Pittsburgh,PA,15219,Restaurants
11-837-8074,1,1,1,Nicky's Grant Street,310 Grant St # 102,Pittsburgh,PA,15219,Restaurants
11-837-8074,1,1,1,Nicky's Grant Street,310 Grant St # 100,Pittsburgh,PA,15219,Restaurants
11-837-9114,1,1,1,Cafe 5th,818 5th Ave,Pittsburgh,PA,15219,Restaurants
11-837-9643,1,1,0,Carlton Restaurant,500 Grant St # Ul6,Pittsburgh,PA,15219,Restaurants
11-838-1730,1,1,1,Eadie's Kitchen & Market,500 Grant St # 1,Pittsburgh,PA,15219,Caterers
11-838-5111,1,1,1,Grand Concourse,100 W Station Square Dr # 1,Pittsburgh,PA,15219,Restaurants
11-838-5111,1,1,1,Grand Concourse Restaurant,100 W Station Square Dr # 1,Pittsburgh,PA,15219,Restaurants
11-838-7356,1,1,1,Kiku Japanese Restaurant,225 W Station Square Dr,Pittsburgh,PA,15219,Restaurants
11-839-0525,1,1,1,Mitchell's Restaurant & Bar,304 Ross St,Pittsburgh,PA,15219,Restaurants
11-839-0525,1,1,1,Mitchell's Restaurant Bar-Bnqt,304 Ross St,Pittsburgh,PA,15219,Restaurants
11-840-1116,1,1,1,Aracri's Greentree Inn,1006 Greentree Rd,Pittsburgh,PA,15220,Restaurants
11-840-1652,1,1,1,Johnny's Diner,1900 Woodville Ave,Pittsburgh,PA,15220,Restaurants
11-840-3344,1,1,1,Pasquarelli's Pizza House,824 Chartiers Ave Mc,Mc Kees Rocks,PA,15136,Pizza
11-840-3344,1,1,1,Pasquarelli's Pizza House,824 Chartiers Ave,Pittsburgh,PA,15220,Pizza
11-840-3682,1,1,1,Porto Fino Pizzeria & Gyro,28 W Steuben St,Crafton,PA,15205,Pizza
11-840-3682,1,1,1,Porto Fino Pizzeria & Gyro,28 W Steuben St,Pittsburgh,PA,15205,Pizza
11-840-5109,1,1,1,Lorenz Cafe,718 Lorenz Ave,Pittsburgh,PA,15220,Bars
11-840-5299,1,1,1,Vincents Of Greentree,333 Mansfield Ave,Pittsburgh,PA,15220,Restaurants
11-840-5299,1,1,1,Vincents Of Greentree,333 Mansfield Ave,Pittsburgh,PA,15220,
11-840-5448,1,1,1,Wendy's,1660 Cochran Rd,Pittsburgh,PA,15220,Restaurants
11-840-7303,1,1,1,A & M Market,320 Coal St,Pittsburgh,PA,15221,Grocers-Retail
11-840-9093,1,1,1,Drew's Restaurant,2060 Ardmore Blvd,Pittsburgh,PA,15221,Restaurants
11-840-9218,1,1,1,Domino's,2600 Ardmore Blvd,Pittsburgh,PA,15221,Pizza
11-841-1131,2,2,2,KFC,278 Yost Blvd,Pittsburgh,PA,15221,Restaurants
11-841-3038,1,0,0,Rudy's Subs,270 Yost Blvd,Pittsburgh,PA,15221,Restaurants
11-841-4374,1,1,1,Vincent's Pizza Park,998 Ardmore Blvd,Pittsburgh,PA,15221,Pizza
11-841-4515,1,0,1,Wendy's,200 Penn Ave,Pittsburgh,PA,15221,Restaurants
11-842-8747,1,1,1,Deluca's Diner II LLC,2015 Penn Ave,Pittsburgh,PA,15222,Restaurants
11-842-8747,1,1,1,Deluca's Restaurant,2015 Penn Ave,Pittsburgh,PA,15222,Restaurants
11-843-6443,1,1,0,Lagondola Pizzeria & Rstrnt,4 Market Sq,Pittsburgh,PA,15222,Pizza
11-843-8548,1,1,1,Mc Donald's,608 Wood St,Pittsburgh,PA,15222,Restaurants
11-843-8845,1,0,0,Mc Donald's,1630 Penn Ave,Pittsburgh,PA,15222,Restaurants
11-844-0684,1,1,1,Grippo Enterprises,20 Market Sq,Pittsburgh,PA,15222,Restaurants
11-844-2953,1,1,1,Primanti Bros,46 18th St,Pittsburgh,PA,15222,Restaurants
11-844-4330,1,1,1,Roland's Seafood Grill,1904 Penn Ave,Pittsburgh,PA,15222,Restaurants
11-844-4611,1,1,1,San Remos,10 Market St,Pittsburgh,PA,15222,Pizza
11-844-4611,1,1,1,Sanremo's Pizza & Bar,10 Market St,Pittsburgh,PA,15222,Pizza
11-844-8786,1,0,1,Villa Reale Pizzeria,628 Smithfield St # 1,Pittsburgh,PA,15222,Restaurants
11-844-8786,1,0,1,Villa Reale Pizzeria & Rstrnt,628 Smithfield St # 1,Pittsburgh,PA,15222,Restaurants
11-845-0527,1,0,1,Amato's Pizza,376 Butler St,Pittsburgh,PA,15223,Pizza
11-845-0527,1,0,1,Amato's Sandwich Shops,376 Butler St,Pittsburgh,PA,15223,Caterers
