Version Year,IUSA Number,Company Name,Address,City,State,ZIP Code,Primary SIC Description
2020,72-243-8352,Jamba Juice,531 Grant St,Pittsburgh,PA,15219,Juice Bars
2020,69-439-7415,Jane Chounaem Restaurant,5901 Bryant St,Pittsburgh,PA,15206,Restaurants
2020,72-639-0820,Jason's Deli,6300 Northway Dr,Pittsburgh,PA,15237,Restaurants
2020,42-601-8133,Jazzie's,512 Ohio River Blvd,Pittsburgh,PA,15202,Restaurants
2020,11-846-7505,Jb's Pizza Place,2513 Transport St,Pittsburgh,PA,15234,Pizza
2020,67-727-4730,Jck Tavern Inc,132 S 24th St,Pittsburgh,PA,15203,Bars
2020,40-349-2611,Ihop Restaurant,4656 Browns Hill Rd,Pittsburgh,PA,15217,Restaurants
2020,71-439-1274,Ihop Restaurant,1245 Regency Dr,Pittsburgh,PA,15237,Restaurants
2020,69-581-2925,II Burloni LA Pizza E Cucina,2101 Greentree Rd,Pittsburgh,PA,15220,Restaurants
2020,40-863-7814,Ikaros Gourmet Co Inc,1412 Chelton Ave,Pittsburgh,PA,15226,Caterers
2020,73-417-8113,Ikea Pittsburgh Restaurant,2001 Park Manor Blvd,Pittsburgh,PA,15205,Restaurants
2020,73-991-6854,Il Tetto,22 Market Sq,Pittsburgh,PA,15222,Nonclassified Establishments
2020,66-726-5888,Images Bar,965 Liberty Ave,Pittsburgh,PA,15222,Bars
2020,74-033-2177,Independent Brewing Co,1704 Shady Ave,Pittsburgh,PA,15217,Brewers (Mfrs)
2020,24-598-6120,India Palace,137 6th St,Pittsburgh,PA,15222,Restaurants
2020,67-480-9835,Indian Spices,129 6th St,Pittsburgh,PA,15222,Restaurants
2020,42-040-2267,Industry Public House,4305 Butler St,Pittsburgh,PA,15201,Restaurants
2020,71-760-0877,Industry Public House Tim,140 Andrew Dr,Pittsburgh,PA,15275,Restaurants
2020,72-365-5390,Ineffable Caphe,3920 Penn Ave,Pittsburgh,PA,15224,Nonclassified Establishments
2020,89-982-9808,Inn On Negley,703 S Negley Ave,Pittsburgh,PA,15232,Motels & Hotels Reservations
2020,72-972-5305,Insomnia Banquet Hall Corp,810 Brookline Blvd,Pittsburgh,PA,15226,Caterers
2020,11-836-2177,Irish Centre Of Pittsburgh,6886 Forward Ave,Pittsburgh,PA,15217,Non-Profit Organizations
2020,71-528-3471,Irish Night,4720 5th Ave,Pittsburgh,PA,15213,Restaurants
2020,74-482-4112,Iron Born Pizza,1806 Smallman St,Pittsburgh,PA,15222,Restaurants
2020,70-499-4889,Iss Faculity,2000 Technology Dr,Pittsburgh,PA,15219,Caterers
2020,73-451-6488,Istanbul Eatery,1103 S Braddock Ave,Pittsburgh,PA,15218,Restaurants
2020,70-512-0131,Istanbul Sofra,7207 Whipple St,Pittsburgh,PA,15218,Restaurants
2020,42-553-0320,Heinz Hall,600 Penn Ave # 2,Pittsburgh,PA,15222,Theatres-Live
2020,70-701-5081,Hello Bistro,419 Wood St,Pittsburgh,PA,15222,Restaurants
2020,42-725-0200,Hello Bistro,1922 E Carson St,Pittsburgh,PA,15203,Restaurants
2020,70-783-4319,Hello Bistro,292 Forbes Ave,Pittsburgh,PA,15222,Restaurants
2020,41-555-5802,Hello Bistro Oakland,3605 Forbes Ave,Pittsburgh,PA,15213,Restaurants
2020,11-833-7351,Hemingway's Cafe,3911 Forbes Ave,Pittsburgh,PA,15213,Bars
2020,74-756-6028,Hen Fruit LLC,501 Grant St,Pittsburgh,PA,15219,Restaurants
2020,35-834-8928,Heritage Industries Inc,500 Fountain St,Pittsburgh,PA,15238,Restaurants
2020,58-872-6802,Hidden Harbor,1704 Shady Ave,Pittsburgh,PA,15217,Restaurants
2020,40-021-0166,Highland Bar,517 Perry Hwy,Pittsburgh,PA,15229,Bars
2020,41-775-7353,Highlander Pub,227 Greenbriar Way,Pittsburgh,PA,15232,Restaurants
2020,50-568-5008,Hill Toppers Pub,1700 Lowrie St,Pittsburgh,PA,15212,Restaurants
